group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fn_lenght,My_qag_par,2,,,82904157.0,ns,1
Fn_lenght,My_qag_par,2,,,82407002.0,ns,1
Fn_lenght,My_qag_par,2,,,80445564.0,ns,1
Fn_lenght,My_qag_par,2,,,83147580.0,ns,1
Fn_lenght,My_qag_par,2,,,81579329.0,ns,1
Fn_lenght,My_qag_par,2,,,80845053.0,ns,1
Fn_lenght,My_qag_par,2,,,82603365.0,ns,1
Fn_lenght,My_qag_par,2,,,80950775.0,ns,1
Fn_lenght,My_qag_par,2,,,83068570.0,ns,1
Fn_lenght,My_qag_par,2,,,72416591.0,ns,1
Fn_lenght,My_qag_par,2,,,83107804.0,ns,1
Fn_lenght,My_qag_par,2,,,82464542.0,ns,1
Fn_lenght,My_qag_par,2,,,80091821.0,ns,1
Fn_lenght,My_qag_par,2,,,79013552.0,ns,1
Fn_lenght,My_qag_par,2,,,82984169.0,ns,1
Fn_lenght,My_qag_par,2,,,83088649.0,ns,1
Fn_lenght,My_qag_par,2,,,81826057.0,ns,1
Fn_lenght,My_qag_par,2,,,83823826.0,ns,1
Fn_lenght,My_qag_par,2,,,81860153.0,ns,1
Fn_lenght,My_qag_par,2,,,83843082.0,ns,1
Fn_lenght,My_qag_par,2,,,81516820.0,ns,1
Fn_lenght,My_qag_par,2,,,82951487.0,ns,1
Fn_lenght,My_qag_par,2,,,84409248.0,ns,1
Fn_lenght,My_qag_par,2,,,83595081.0,ns,1
Fn_lenght,My_qag_par,2,,,81290450.0,ns,1
Fn_lenght,My_qag_par,2,,,80732931.0,ns,1
Fn_lenght,My_qag_par,2,,,69176031.0,ns,1
Fn_lenght,My_qag_par,2,,,72439204.0,ns,1
Fn_lenght,My_qag_par,2,,,81907222.0,ns,1
Fn_lenght,My_qag_par,2,,,82540376.0,ns,1
Fn_lenght,My_qag_par,2,,,71532510.0,ns,1
Fn_lenght,My_qag_par,2,,,82839565.0,ns,1
Fn_lenght,My_qag_par,2,,,81679680.0,ns,1
Fn_lenght,My_qag_par,2,,,70108413.0,ns,1
Fn_lenght,My_qag_par,2,,,74624819.0,ns,1
Fn_lenght,My_qag_par,2,,,83623625.0,ns,1
Fn_lenght,My_qag_par,2,,,72304918.0,ns,1
Fn_lenght,My_qag_par,2,,,81643923.0,ns,1
Fn_lenght,My_qag_par,2,,,76013238.0,ns,1
Fn_lenght,My_qag_par,2,,,83076124.0,ns,1
Fn_lenght,My_qag_par,2,,,83631601.0,ns,1
Fn_lenght,My_qag_par,2,,,82848532.0,ns,1
Fn_lenght,My_qag_par,2,,,72713717.0,ns,1
Fn_lenght,My_qag_par,2,,,84040056.0,ns,1
Fn_lenght,My_qag_par,2,,,82618605.0,ns,1
Fn_lenght,My_qag_par,2,,,81558871.0,ns,1
Fn_lenght,My_qag_par,2,,,83233634.0,ns,1
Fn_lenght,My_qag_par,2,,,83269884.0,ns,1
Fn_lenght,My_qag_par,2,,,83575884.0,ns,1
Fn_lenght,My_qag_par,2,,,83415370.0,ns,1
Fn_lenght,My_qag_par,2,,,83482286.0,ns,1
Fn_lenght,My_qag_par,2,,,79784086.0,ns,1
Fn_lenght,My_qag_par,2,,,82013755.0,ns,1
Fn_lenght,My_qag_par,2,,,83202494.0,ns,1
Fn_lenght,My_qag_par,2,,,81307703.0,ns,1
Fn_lenght,My_qag_par,2,,,83718657.0,ns,1
Fn_lenght,My_qag_par,2,,,82645896.0,ns,1
Fn_lenght,My_qag_par,2,,,79712130.0,ns,1
Fn_lenght,My_qag_par,2,,,76575787.0,ns,1
Fn_lenght,My_qag_par,2,,,71022632.0,ns,1
Fn_lenght,My_qag_par,2,,,72129025.0,ns,1
Fn_lenght,My_qag_par,2,,,83504118.0,ns,1
Fn_lenght,My_qag_par,2,,,82668450.0,ns,1
Fn_lenght,My_qag_par,2,,,77082020.0,ns,1
Fn_lenght,My_qag_par,2,,,83733755.0,ns,1
Fn_lenght,My_qag_par,2,,,83546328.0,ns,1
Fn_lenght,My_qag_par,2,,,80426508.0,ns,1
Fn_lenght,My_qag_par,2,,,83693508.0,ns,1
Fn_lenght,My_qag_par,2,,,82234666.0,ns,1
Fn_lenght,My_qag_par,2,,,81918974.0,ns,1
Fn_lenght,My_qag_par,2,,,82837581.0,ns,1
Fn_lenght,My_qag_par,2,,,72232732.0,ns,1
Fn_lenght,My_qag_par,2,,,73437903.0,ns,1
Fn_lenght,My_qag_par,2,,,80302141.0,ns,1
Fn_lenght,My_qag_par,2,,,73567599.0,ns,1
Fn_lenght,My_qag_par,2,,,76627055.0,ns,1
Fn_lenght,My_qag_par,2,,,72269923.0,ns,1
Fn_lenght,My_qag_par,2,,,83538182.0,ns,1
Fn_lenght,My_qag_par,2,,,83150565.0,ns,1
Fn_lenght,My_qag_par,2,,,74768793.0,ns,1
Fn_lenght,My_qag_par,2,,,79488144.0,ns,1
Fn_lenght,My_qag_par,2,,,82299818.0,ns,1
Fn_lenght,My_qag_par,2,,,68771101.0,ns,1
Fn_lenght,My_qag_par,2,,,82095801.0,ns,1
Fn_lenght,My_qag_par,2,,,72511702.0,ns,1
Fn_lenght,My_qag_par,2,,,82979622.0,ns,1
Fn_lenght,My_qag_par,2,,,80839924.0,ns,1
Fn_lenght,My_qag_par,2,,,82965946.0,ns,1
Fn_lenght,My_qag_par,2,,,81416329.0,ns,1
Fn_lenght,My_qag_par,2,,,83912635.0,ns,1
Fn_lenght,My_qag_par,2,,,83121891.0,ns,1
Fn_lenght,My_qag_par,2,,,82299267.0,ns,1
Fn_lenght,My_qag_par,2,,,83603347.0,ns,1
Fn_lenght,My_qag_par,2,,,83813296.0,ns,1
Fn_lenght,My_qag_par,2,,,81308624.0,ns,1
Fn_lenght,My_qag_par,2,,,80846586.0,ns,1
Fn_lenght,My_qag_par,2,,,84120791.0,ns,1
Fn_lenght,My_qag_par,2,,,84080875.0,ns,1
Fn_lenght,My_qag_par,2,,,73380504.0,ns,1
Fn_lenght,My_qag_par,2,,,81515859.0,ns,1
