group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fn_lenght,Rgsl_qag,3,,,241500064.0,ns,1
Fn_lenght,Rgsl_qag,3,,,256967235.0,ns,1
Fn_lenght,Rgsl_qag,3,,,198220450.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180303000.0,ns,1
Fn_lenght,Rgsl_qag,3,,,178574023.0,ns,1
Fn_lenght,Rgsl_qag,3,,,179880667.0,ns,1
Fn_lenght,Rgsl_qag,3,,,179780858.0,ns,1
Fn_lenght,Rgsl_qag,3,,,186286765.0,ns,1
Fn_lenght,Rgsl_qag,3,,,242529871.0,ns,1
Fn_lenght,Rgsl_qag,3,,,223114182.0,ns,1
Fn_lenght,Rgsl_qag,3,,,254833300.0,ns,1
Fn_lenght,Rgsl_qag,3,,,187039666.0,ns,1
Fn_lenght,Rgsl_qag,3,,,258165905.0,ns,1
Fn_lenght,Rgsl_qag,3,,,256019595.0,ns,1
Fn_lenght,Rgsl_qag,3,,,255694266.0,ns,1
Fn_lenght,Rgsl_qag,3,,,259653121.0,ns,1
Fn_lenght,Rgsl_qag,3,,,206914417.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180532950.0,ns,1
Fn_lenght,Rgsl_qag,3,,,220429854.0,ns,1
Fn_lenght,Rgsl_qag,3,,,184503193.0,ns,1
Fn_lenght,Rgsl_qag,3,,,189198229.0,ns,1
Fn_lenght,Rgsl_qag,3,,,196754199.0,ns,1
Fn_lenght,Rgsl_qag,3,,,246301297.0,ns,1
Fn_lenght,Rgsl_qag,3,,,260960488.0,ns,1
Fn_lenght,Rgsl_qag,3,,,226701826.0,ns,1
Fn_lenght,Rgsl_qag,3,,,217568040.0,ns,1
Fn_lenght,Rgsl_qag,3,,,186032145.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180568100.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180722502.0,ns,1
Fn_lenght,Rgsl_qag,3,,,181212657.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180976404.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180247931.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180199584.0,ns,1
Fn_lenght,Rgsl_qag,3,,,188173008.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180566884.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180350505.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180925218.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180191666.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180671709.0,ns,1
Fn_lenght,Rgsl_qag,3,,,253411888.0,ns,1
Fn_lenght,Rgsl_qag,3,,,211310490.0,ns,1
Fn_lenght,Rgsl_qag,3,,,224984410.0,ns,1
Fn_lenght,Rgsl_qag,3,,,250971574.0,ns,1
Fn_lenght,Rgsl_qag,3,,,181229640.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180779509.0,ns,1
Fn_lenght,Rgsl_qag,3,,,188369370.0,ns,1
Fn_lenght,Rgsl_qag,3,,,245399465.0,ns,1
Fn_lenght,Rgsl_qag,3,,,173063618.0,ns,1
Fn_lenght,Rgsl_qag,3,,,186958279.0,ns,1
Fn_lenght,Rgsl_qag,3,,,180316135.0,ns,1
Fn_lenght,Rgsl_qag,3,,,208816693.0,ns,1
Fn_lenght,Rgsl_qag,3,,,252853018.0,ns,1
Fn_lenght,Rgsl_qag,3,,,220643385.0,ns,1
Fn_lenght,Rgsl_qag,3,,,199888994.0,ns,1
Fn_lenght,Rgsl_qag,3,,,173226248.0,ns,1
Fn_lenght,Rgsl_qag,3,,,173104138.0,ns,1
Fn_lenght,Rgsl_qag,3,,,173156540.0,ns,1
Fn_lenght,Rgsl_qag,3,,,173282820.0,ns,1
Fn_lenght,Rgsl_qag,3,,,176389757.0,ns,1
Fn_lenght,Rgsl_qag,3,,,247529728.0,ns,1
Fn_lenght,Rgsl_qag,3,,,259135754.0,ns,1
Fn_lenght,Rgsl_qag,3,,,231052612.0,ns,1
Fn_lenght,Rgsl_qag,3,,,259910228.0,ns,1
