group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Key,My_qag,4,,,288735093.0,ns,1
Key,My_qag,4,,,288835103.0,ns,1
Key,My_qag,4,,,286046871.0,ns,1
Key,My_qag,4,,,288110732.0,ns,1
Key,My_qag,4,,,355101535.0,ns,1
Key,My_qag,4,,,411763677.0,ns,1
Key,My_qag,4,,,385687112.0,ns,1
Key,My_qag,4,,,284896972.0,ns,1
Key,My_qag,4,,,290374749.0,ns,1
Key,My_qag,4,,,285898037.0,ns,1
Key,My_qag,4,,,405286146.0,ns,1
Key,My_qag,4,,,375060235.0,ns,1
Key,My_qag,4,,,350757218.0,ns,1
Key,My_qag,4,,,294729020.0,ns,1
Key,My_qag,4,,,359383844.0,ns,1
Key,My_qag,4,,,345454258.0,ns,1
Key,My_qag,4,,,374630875.0,ns,1
Key,My_qag,4,,,436746826.0,ns,1
Key,My_qag,4,,,396573815.0,ns,1
Key,My_qag,4,,,306396830.0,ns,1
Key,My_qag,4,,,330382922.0,ns,1
Key,My_qag,4,,,319748236.0,ns,1
Key,My_qag,4,,,277979704.0,ns,1
Key,My_qag,4,,,275023974.0,ns,1
Key,My_qag,4,,,277816878.0,ns,1
Key,My_qag,4,,,274824468.0,ns,1
Key,My_qag,4,,,398762809.0,ns,1
Key,My_qag,4,,,305244043.0,ns,1
Key,My_qag,4,,,343911651.0,ns,1
Key,My_qag,4,,,391882364.0,ns,1
Key,My_qag,4,,,321370683.0,ns,1
Key,My_qag,4,,,348221075.0,ns,1
Key,My_qag,4,,,429425603.0,ns,1
Key,My_qag,4,,,319146693.0,ns,1
Key,My_qag,4,,,334946294.0,ns,1
Key,My_qag,4,,,441970514.0,ns,1
Key,My_qag,4,,,439545092.0,ns,1
Key,My_qag,4,,,441555906.0,ns,1
Key,My_qag,4,,,335884462.0,ns,1
Key,My_qag,4,,,382981437.0,ns,1
Key,My_qag,4,,,333308513.0,ns,1
Key,My_qag,4,,,389064000.0,ns,1
Key,My_qag,4,,,440274450.0,ns,1
Key,My_qag,4,,,379024413.0,ns,1
Key,My_qag,4,,,317068345.0,ns,1
Key,My_qag,4,,,439290189.0,ns,1
Key,My_qag,4,,,438583265.0,ns,1
Key,My_qag,4,,,425074276.0,ns,1
Key,My_qag,4,,,408006883.0,ns,1
Key,My_qag,4,,,289111687.0,ns,1
Key,My_qag,4,,,286714320.0,ns,1
Key,My_qag,4,,,289521875.0,ns,1
Key,My_qag,4,,,276050338.0,ns,1
Key,My_qag,4,,,281440137.0,ns,1
Key,My_qag,4,,,286239825.0,ns,1
Key,My_qag,4,,,278940784.0,ns,1
Key,My_qag,4,,,275571199.0,ns,1
Key,My_qag,4,,,381529861.0,ns,1
Key,My_qag,4,,,410602504.0,ns,1
Key,My_qag,4,,,304265095.0,ns,1
Key,My_qag,4,,,380944087.0,ns,1
Key,My_qag,4,,,325691194.0,ns,1
Key,My_qag,4,,,382416591.0,ns,1
Key,My_qag,4,,,289337091.0,ns,1
Key,My_qag,4,,,289118299.0,ns,1
Key,My_qag,4,,,289877178.0,ns,1
Key,My_qag,4,,,362214048.0,ns,1
Key,My_qag,4,,,308947599.0,ns,1
Key,My_qag,4,,,274930702.0,ns,1
Key,My_qag,4,,,371521182.0,ns,1
Key,My_qag,4,,,287779510.0,ns,1
Key,My_qag,4,,,289596862.0,ns,1
Key,My_qag,4,,,338788463.0,ns,1
Key,My_qag,4,,,367508523.0,ns,1
Key,My_qag,4,,,388153523.0,ns,1
Key,My_qag,4,,,364554536.0,ns,1
Key,My_qag,4,,,371586425.0,ns,1
Key,My_qag,4,,,438560228.0,ns,1
Key,My_qag,4,,,366107599.0,ns,1
Key,My_qag,4,,,276900891.0,ns,1
Key,My_qag,4,,,281954383.0,ns,1
Key,My_qag,4,,,287592076.0,ns,1
Key,My_qag,4,,,347017889.0,ns,1
Key,My_qag,4,,,307218445.0,ns,1
Key,My_qag,4,,,290893382.0,ns,1
Key,My_qag,4,,,288815081.0,ns,1
Key,My_qag,4,,,413339228.0,ns,1
Key,My_qag,4,,,425950357.0,ns,1
Key,My_qag,4,,,320263465.0,ns,1
Key,My_qag,4,,,329052027.0,ns,1
Key,My_qag,4,,,274286566.0,ns,1
Key,My_qag,4,,,355694949.0,ns,1
Key,My_qag,4,,,397461578.0,ns,1
Key,My_qag,4,,,328669905.0,ns,1
Key,My_qag,4,,,438464209.0,ns,1
Key,My_qag,4,,,343208064.0,ns,1
Key,My_qag,4,,,343760613.0,ns,1
Key,My_qag,4,,,441596452.0,ns,1
Key,My_qag,4,,,439197212.0,ns,1
Key,My_qag,4,,,439834114.0,ns,1
