group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Key,My_qag_par,3,,,79733095.0,ns,1
Key,My_qag_par,3,,,84134591.0,ns,1
Key,My_qag_par,3,,,81477540.0,ns,1
Key,My_qag_par,3,,,80534792.0,ns,1
Key,My_qag_par,3,,,67975973.0,ns,1
Key,My_qag_par,3,,,79316985.0,ns,1
Key,My_qag_par,3,,,78050700.0,ns,1
Key,My_qag_par,3,,,80326040.0,ns,1
Key,My_qag_par,3,,,87535458.0,ns,1
Key,My_qag_par,3,,,81115486.0,ns,1
Key,My_qag_par,3,,,67716250.0,ns,1
Key,My_qag_par,3,,,83886581.0,ns,1
Key,My_qag_par,3,,,74844361.0,ns,1
Key,My_qag_par,3,,,82459900.0,ns,1
Key,My_qag_par,3,,,84238549.0,ns,1
Key,My_qag_par,3,,,76031445.0,ns,1
Key,My_qag_par,3,,,82456906.0,ns,1
Key,My_qag_par,3,,,88999868.0,ns,1
Key,My_qag_par,3,,,85963000.0,ns,1
Key,My_qag_par,3,,,82241333.0,ns,1
Key,My_qag_par,3,,,93251858.0,ns,1
Key,My_qag_par,3,,,94773617.0,ns,1
Key,My_qag_par,3,,,84201022.0,ns,1
Key,My_qag_par,3,,,85657465.0,ns,1
Key,My_qag_par,3,,,76466640.0,ns,1
Key,My_qag_par,3,,,87409866.0,ns,1
Key,My_qag_par,3,,,76422396.0,ns,1
Key,My_qag_par,3,,,78637926.0,ns,1
Key,My_qag_par,3,,,72880424.0,ns,1
Key,My_qag_par,3,,,75751496.0,ns,1
Key,My_qag_par,3,,,87937578.0,ns,1
Key,My_qag_par,3,,,90393441.0,ns,1
Key,My_qag_par,3,,,72143803.0,ns,1
Key,My_qag_par,3,,,75248681.0,ns,1
Key,My_qag_par,3,,,74639416.0,ns,1
Key,My_qag_par,3,,,77116718.0,ns,1
Key,My_qag_par,3,,,76625603.0,ns,1
Key,My_qag_par,3,,,74621865.0,ns,1
Key,My_qag_par,3,,,80002426.0,ns,1
Key,My_qag_par,3,,,81885918.0,ns,1
Key,My_qag_par,3,,,83473518.0,ns,1
Key,My_qag_par,3,,,80162313.0,ns,1
Key,My_qag_par,3,,,82271528.0,ns,1
Key,My_qag_par,3,,,82929650.0,ns,1
Key,My_qag_par,3,,,89937281.0,ns,1
Key,My_qag_par,3,,,86761675.0,ns,1
Key,My_qag_par,3,,,88415610.0,ns,1
Key,My_qag_par,3,,,88095220.0,ns,1
Key,My_qag_par,3,,,86332971.0,ns,1
Key,My_qag_par,3,,,79606933.0,ns,1
Key,My_qag_par,3,,,85409427.0,ns,1
Key,My_qag_par,3,,,78760824.0,ns,1
Key,My_qag_par,3,,,80566222.0,ns,1
Key,My_qag_par,3,,,91979520.0,ns,1
Key,My_qag_par,3,,,76761596.0,ns,1
Key,My_qag_par,3,,,67996154.0,ns,1
Key,My_qag_par,3,,,75950312.0,ns,1
Key,My_qag_par,3,,,89380520.0,ns,1
Key,My_qag_par,3,,,79179903.0,ns,1
Key,My_qag_par,3,,,67763430.0,ns,1
Key,My_qag_par,3,,,80873740.0,ns,1
Key,My_qag_par,3,,,82989448.0,ns,1
Key,My_qag_par,3,,,85420037.0,ns,1
Key,My_qag_par,3,,,77944956.0,ns,1
Key,My_qag_par,3,,,76666347.0,ns,1
Key,My_qag_par,3,,,75647452.0,ns,1
Key,My_qag_par,3,,,83075383.0,ns,1
Key,My_qag_par,3,,,84800125.0,ns,1
Key,My_qag_par,3,,,72663537.0,ns,1
Key,My_qag_par,3,,,83125882.0,ns,1
Key,My_qag_par,3,,,74936786.0,ns,1
Key,My_qag_par,3,,,77650358.0,ns,1
Key,My_qag_par,3,,,81114389.0,ns,1
Key,My_qag_par,3,,,91532717.0,ns,1
Key,My_qag_par,3,,,82391114.0,ns,1
Key,My_qag_par,3,,,91969474.0,ns,1
Key,My_qag_par,3,,,83788813.0,ns,1
Key,My_qag_par,3,,,81718165.0,ns,1
Key,My_qag_par,3,,,78246461.0,ns,1
Key,My_qag_par,3,,,80911840.0,ns,1
Key,My_qag_par,3,,,86961316.0,ns,1
Key,My_qag_par,3,,,86395258.0,ns,1
Key,My_qag_par,3,,,85375290.0,ns,1
Key,My_qag_par,3,,,81689004.0,ns,1
Key,My_qag_par,3,,,71797223.0,ns,1
Key,My_qag_par,3,,,83787341.0,ns,1
Key,My_qag_par,3,,,83818647.0,ns,1
Key,My_qag_par,3,,,90530534.0,ns,1
Key,My_qag_par,3,,,76469605.0,ns,1
Key,My_qag_par,3,,,77904503.0,ns,1
Key,My_qag_par,3,,,87319455.0,ns,1
Key,My_qag_par,3,,,90030775.0,ns,1
Key,My_qag_par,3,,,76428844.0,ns,1
Key,My_qag_par,3,,,84707662.0,ns,1
Key,My_qag_par,3,,,76027940.0,ns,1
Key,My_qag_par,3,,,83227686.0,ns,1
Key,My_qag_par,3,,,79252113.0,ns,1
Key,My_qag_par,3,,,73432106.0,ns,1
Key,My_qag_par,3,,,81629489.0,ns,1
Key,My_qag_par,3,,,80864106.0,ns,1
