group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Key,My_qag_par,5,,,76892813.0,ns,1
Key,My_qag_par,5,,,76292249.0,ns,1
Key,My_qag_par,5,,,85526682.0,ns,1
Key,My_qag_par,5,,,84626749.0,ns,1
Key,My_qag_par,5,,,77634570.0,ns,1
Key,My_qag_par,5,,,80036211.0,ns,1
Key,My_qag_par,5,,,82625279.0,ns,1
Key,My_qag_par,5,,,77673800.0,ns,1
Key,My_qag_par,5,,,88137108.0,ns,1
Key,My_qag_par,5,,,95807089.0,ns,1
Key,My_qag_par,5,,,84072170.0,ns,1
Key,My_qag_par,5,,,83538404.0,ns,1
Key,My_qag_par,5,,,78438888.0,ns,1
Key,My_qag_par,5,,,85795133.0,ns,1
Key,My_qag_par,5,,,80970844.0,ns,1
Key,My_qag_par,5,,,80930972.0,ns,1
Key,My_qag_par,5,,,77374479.0,ns,1
Key,My_qag_par,5,,,84211146.0,ns,1
Key,My_qag_par,5,,,78903656.0,ns,1
Key,My_qag_par,5,,,84782908.0,ns,1
Key,My_qag_par,5,,,94079683.0,ns,1
Key,My_qag_par,5,,,88873854.0,ns,1
Key,My_qag_par,5,,,85723606.0,ns,1
Key,My_qag_par,5,,,80525358.0,ns,1
Key,My_qag_par,5,,,71748730.0,ns,1
Key,My_qag_par,5,,,83263055.0,ns,1
Key,My_qag_par,5,,,87889088.0,ns,1
Key,My_qag_par,5,,,78968750.0,ns,1
Key,My_qag_par,5,,,85318823.0,ns,1
Key,My_qag_par,5,,,89152786.0,ns,1
Key,My_qag_par,5,,,81608511.0,ns,1
Key,My_qag_par,5,,,84443002.0,ns,1
Key,My_qag_par,5,,,87668520.0,ns,1
Key,My_qag_par,5,,,75082382.0,ns,1
Key,My_qag_par,5,,,83615571.0,ns,1
Key,My_qag_par,5,,,84075417.0,ns,1
Key,My_qag_par,5,,,82018858.0,ns,1
Key,My_qag_par,5,,,88764163.0,ns,1
Key,My_qag_par,5,,,76341030.0,ns,1
Key,My_qag_par,5,,,89697697.0,ns,1
Key,My_qag_par,5,,,91432105.0,ns,1
Key,My_qag_par,5,,,85572797.0,ns,1
Key,My_qag_par,5,,,80881006.0,ns,1
Key,My_qag_par,5,,,91547523.0,ns,1
Key,My_qag_par,5,,,85405866.0,ns,1
Key,My_qag_par,5,,,78928525.0,ns,1
Key,My_qag_par,5,,,79814516.0,ns,1
Key,My_qag_par,5,,,90574687.0,ns,1
Key,My_qag_par,5,,,84602455.0,ns,1
Key,My_qag_par,5,,,88069538.0,ns,1
Key,My_qag_par,5,,,77936083.0,ns,1
Key,My_qag_par,5,,,82432973.0,ns,1
Key,My_qag_par,5,,,81839302.0,ns,1
Key,My_qag_par,5,,,81251532.0,ns,1
Key,My_qag_par,5,,,68539475.0,ns,1
Key,My_qag_par,5,,,81443257.0,ns,1
Key,My_qag_par,5,,,79817084.0,ns,1
Key,My_qag_par,5,,,87055841.0,ns,1
Key,My_qag_par,5,,,83892155.0,ns,1
Key,My_qag_par,5,,,90096733.0,ns,1
Key,My_qag_par,5,,,83839306.0,ns,1
Key,My_qag_par,5,,,88014637.0,ns,1
Key,My_qag_par,5,,,87937449.0,ns,1
Key,My_qag_par,5,,,88836590.0,ns,1
Key,My_qag_par,5,,,82127078.0,ns,1
Key,My_qag_par,5,,,87176205.0,ns,1
Key,My_qag_par,5,,,82632519.0,ns,1
Key,My_qag_par,5,,,92166676.0,ns,1
Key,My_qag_par,5,,,85608768.0,ns,1
Key,My_qag_par,5,,,91909442.0,ns,1
Key,My_qag_par,5,,,88944271.0,ns,1
Key,My_qag_par,5,,,83834255.0,ns,1
Key,My_qag_par,5,,,81771885.0,ns,1
Key,My_qag_par,5,,,82990122.0,ns,1
Key,My_qag_par,5,,,79003472.0,ns,1
Key,My_qag_par,5,,,87717439.0,ns,1
Key,My_qag_par,5,,,74507482.0,ns,1
Key,My_qag_par,5,,,79989089.0,ns,1
Key,My_qag_par,5,,,77277648.0,ns,1
Key,My_qag_par,5,,,92278186.0,ns,1
Key,My_qag_par,5,,,92525040.0,ns,1
Key,My_qag_par,5,,,94541529.0,ns,1
Key,My_qag_par,5,,,87574478.0,ns,1
Key,My_qag_par,5,,,83362291.0,ns,1
Key,My_qag_par,5,,,84690437.0,ns,1
Key,My_qag_par,5,,,94697698.0,ns,1
Key,My_qag_par,5,,,90024138.0,ns,1
Key,My_qag_par,5,,,82447832.0,ns,1
Key,My_qag_par,5,,,81503167.0,ns,1
Key,My_qag_par,5,,,77620263.0,ns,1
Key,My_qag_par,5,,,70812964.0,ns,1
Key,My_qag_par,5,,,87780932.0,ns,1
Key,My_qag_par,5,,,84494684.0,ns,1
Key,My_qag_par,5,,,76313526.0,ns,1
Key,My_qag_par,5,,,86471026.0,ns,1
Key,My_qag_par,5,,,84192507.0,ns,1
Key,My_qag_par,5,,,85601969.0,ns,1
Key,My_qag_par,5,,,93144324.0,ns,1
Key,My_qag_par,5,,,84776159.0,ns,1
Key,My_qag_par,5,,,91288327.0,ns,1
