group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Key,Rgsl_qag,2,,,530030319.0,ns,1
Key,Rgsl_qag,2,,,578831118.0,ns,1
Key,Rgsl_qag,2,,,519803459.0,ns,1
Key,Rgsl_qag,2,,,522329306.0,ns,1
Key,Rgsl_qag,2,,,525234853.0,ns,1
Key,Rgsl_qag,2,,,678514085.0,ns,1
Key,Rgsl_qag,2,,,736548935.0,ns,1
Key,Rgsl_qag,2,,,626605816.0,ns,1
Key,Rgsl_qag,2,,,523839846.0,ns,1
Key,Rgsl_qag,2,,,522760192.0,ns,1
Key,Rgsl_qag,2,,,650743355.0,ns,1
Key,Rgsl_qag,2,,,744390965.0,ns,1
Key,Rgsl_qag,2,,,763126413.0,ns,1
Key,Rgsl_qag,2,,,543091695.0,ns,1
Key,Rgsl_qag,2,,,522922291.0,ns,1
Key,Rgsl_qag,2,,,534315665.0,ns,1
Key,Rgsl_qag,2,,,539913118.0,ns,1
Key,Rgsl_qag,2,,,523086600.0,ns,1
Key,Rgsl_qag,2,,,596877509.0,ns,1
Key,Rgsl_qag,2,,,619364549.0,ns,1
Key,Rgsl_qag,2,,,522711960.0,ns,1
Key,Rgsl_qag,2,,,571440750.0,ns,1
Key,Rgsl_qag,2,,,673954003.0,ns,1
Key,Rgsl_qag,2,,,522571935.0,ns,1
Key,Rgsl_qag,2,,,523084232.0,ns,1
Key,Rgsl_qag,2,,,533179855.0,ns,1
Key,Rgsl_qag,2,,,793814285.0,ns,1
Key,Rgsl_qag,2,,,764446314.0,ns,1
Key,Rgsl_qag,2,,,798013696.0,ns,1
Key,Rgsl_qag,2,,,585107387.0,ns,1
Key,Rgsl_qag,2,,,495818935.0,ns,1
Key,Rgsl_qag,2,,,494257938.0,ns,1
Key,Rgsl_qag,2,,,496522900.0,ns,1
Key,Rgsl_qag,2,,,582886013.0,ns,1
Key,Rgsl_qag,2,,,640506360.0,ns,1
Key,Rgsl_qag,2,,,642174725.0,ns,1
Key,Rgsl_qag,2,,,666888657.0,ns,1
Key,Rgsl_qag,2,,,686313035.0,ns,1
Key,Rgsl_qag,2,,,635550294.0,ns,1
Key,Rgsl_qag,2,,,542705790.0,ns,1
Key,Rgsl_qag,2,,,606441070.0,ns,1
Key,Rgsl_qag,2,,,797939423.0,ns,1
Key,Rgsl_qag,2,,,553972387.0,ns,1
Key,Rgsl_qag,2,,,766370058.0,ns,1
Key,Rgsl_qag,2,,,667460302.0,ns,1
Key,Rgsl_qag,2,,,620634498.0,ns,1
Key,Rgsl_qag,2,,,524747555.0,ns,1
Key,Rgsl_qag,2,,,524224599.0,ns,1
Key,Rgsl_qag,2,,,522892897.0,ns,1
Key,Rgsl_qag,2,,,666053529.0,ns,1
Key,Rgsl_qag,2,,,724949347.0,ns,1
Key,Rgsl_qag,2,,,523585321.0,ns,1
Key,Rgsl_qag,2,,,547405335.0,ns,1
Key,Rgsl_qag,2,,,598542976.0,ns,1
Key,Rgsl_qag,2,,,522680534.0,ns,1
Key,Rgsl_qag,2,,,514515236.0,ns,1
Key,Rgsl_qag,2,,,528556241.0,ns,1
Key,Rgsl_qag,2,,,732211124.0,ns,1
Key,Rgsl_qag,2,,,602709559.0,ns,1
Key,Rgsl_qag,2,,,789295058.0,ns,1
Key,Rgsl_qag,2,,,775999591.0,ns,1
Key,Rgsl_qag,2,,,695975886.0,ns,1
Key,Rgsl_qag,2,,,618404768.0,ns,1
Key,Rgsl_qag,2,,,731206070.0,ns,1
Key,Rgsl_qag,2,,,560227802.0,ns,1
Key,Rgsl_qag,2,,,736617592.0,ns,1
Key,Rgsl_qag,2,,,686807797.0,ns,1
Key,Rgsl_qag,2,,,656592866.0,ns,1
Key,Rgsl_qag,2,,,627854328.0,ns,1
Key,Rgsl_qag,2,,,673493051.0,ns,1
Key,Rgsl_qag,2,,,694896047.0,ns,1
Key,Rgsl_qag,2,,,565611130.0,ns,1
Key,Rgsl_qag,2,,,637102685.0,ns,1
Key,Rgsl_qag,2,,,616763549.0,ns,1
Key,Rgsl_qag,2,,,527817644.0,ns,1
Key,Rgsl_qag,2,,,523150411.0,ns,1
Key,Rgsl_qag,2,,,571069530.0,ns,1
Key,Rgsl_qag,2,,,722570851.0,ns,1
Key,Rgsl_qag,2,,,726077149.0,ns,1
Key,Rgsl_qag,2,,,524058957.0,ns,1
Key,Rgsl_qag,2,,,565045675.0,ns,1
Key,Rgsl_qag,2,,,687621746.0,ns,1
Key,Rgsl_qag,2,,,677767095.0,ns,1
Key,Rgsl_qag,2,,,786089585.0,ns,1
Key,Rgsl_qag,2,,,595803041.0,ns,1
Key,Rgsl_qag,2,,,659393502.0,ns,1
Key,Rgsl_qag,2,,,706634387.0,ns,1
Key,Rgsl_qag,2,,,798232425.0,ns,1
Key,Rgsl_qag,2,,,682911408.0,ns,1
Key,Rgsl_qag,2,,,789014924.0,ns,1
Key,Rgsl_qag,2,,,665034436.0,ns,1
Key,Rgsl_qag,2,,,695476901.0,ns,1
Key,Rgsl_qag,2,,,628554789.0,ns,1
Key,Rgsl_qag,2,,,618059096.0,ns,1
Key,Rgsl_qag,2,,,583416703.0,ns,1
Key,Rgsl_qag,2,,,541758945.0,ns,1
Key,Rgsl_qag,2,,,522099342.0,ns,1
Key,Rgsl_qag,2,,,541356605.0,ns,1
Key,Rgsl_qag,2,,,599812801.0,ns,1
Key,Rgsl_qag,2,,,566684551.0,ns,1
