group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Key,Rgsl_qag,5,,,421889466.0,ns,1
Key,Rgsl_qag,5,,,385062031.0,ns,1
Key,Rgsl_qag,5,,,360300438.0,ns,1
Key,Rgsl_qag,5,,,359886666.0,ns,1
Key,Rgsl_qag,5,,,402912952.0,ns,1
Key,Rgsl_qag,5,,,399388750.0,ns,1
Key,Rgsl_qag,5,,,421501910.0,ns,1
Key,Rgsl_qag,5,,,430195084.0,ns,1
Key,Rgsl_qag,5,,,493357301.0,ns,1
Key,Rgsl_qag,5,,,473401649.0,ns,1
Key,Rgsl_qag,5,,,449258648.0,ns,1
Key,Rgsl_qag,5,,,361617199.0,ns,1
Key,Rgsl_qag,5,,,397561242.0,ns,1
Key,Rgsl_qag,5,,,432721840.0,ns,1
Key,Rgsl_qag,5,,,442044604.0,ns,1
Key,Rgsl_qag,5,,,360166944.0,ns,1
Key,Rgsl_qag,5,,,403424850.0,ns,1
Key,Rgsl_qag,5,,,403404052.0,ns,1
Key,Rgsl_qag,5,,,389049626.0,ns,1
Key,Rgsl_qag,5,,,360341247.0,ns,1
Key,Rgsl_qag,5,,,464658818.0,ns,1
Key,Rgsl_qag,5,,,475503879.0,ns,1
Key,Rgsl_qag,5,,,421718243.0,ns,1
Key,Rgsl_qag,5,,,447972413.0,ns,1
Key,Rgsl_qag,5,,,437801702.0,ns,1
Key,Rgsl_qag,5,,,429667477.0,ns,1
Key,Rgsl_qag,5,,,395225910.0,ns,1
Key,Rgsl_qag,5,,,360428819.0,ns,1
Key,Rgsl_qag,5,,,378903577.0,ns,1
Key,Rgsl_qag,5,,,479834916.0,ns,1
Key,Rgsl_qag,5,,,485332517.0,ns,1
Key,Rgsl_qag,5,,,503104815.0,ns,1
Key,Rgsl_qag,5,,,380503361.0,ns,1
Key,Rgsl_qag,5,,,359831505.0,ns,1
Key,Rgsl_qag,5,,,464165695.0,ns,1
Key,Rgsl_qag,5,,,518501752.0,ns,1
Key,Rgsl_qag,5,,,529591897.0,ns,1
Key,Rgsl_qag,5,,,468051549.0,ns,1
Key,Rgsl_qag,5,,,514399017.0,ns,1
Key,Rgsl_qag,5,,,527833495.0,ns,1
Key,Rgsl_qag,5,,,360557748.0,ns,1
Key,Rgsl_qag,5,,,360494439.0,ns,1
Key,Rgsl_qag,5,,,350102400.0,ns,1
Key,Rgsl_qag,5,,,371575445.0,ns,1
Key,Rgsl_qag,5,,,359640673.0,ns,1
Key,Rgsl_qag,5,,,391348996.0,ns,1
Key,Rgsl_qag,5,,,384162480.0,ns,1
Key,Rgsl_qag,5,,,500267305.0,ns,1
Key,Rgsl_qag,5,,,513326874.0,ns,1
Key,Rgsl_qag,5,,,458237674.0,ns,1
Key,Rgsl_qag,5,,,360332210.0,ns,1
Key,Rgsl_qag,5,,,359381281.0,ns,1
Key,Rgsl_qag,5,,,388953098.0,ns,1
Key,Rgsl_qag,5,,,423548654.0,ns,1
Key,Rgsl_qag,5,,,358884347.0,ns,1
Key,Rgsl_qag,5,,,360221008.0,ns,1
Key,Rgsl_qag,5,,,404893446.0,ns,1
Key,Rgsl_qag,5,,,416444716.0,ns,1
Key,Rgsl_qag,5,,,392384594.0,ns,1
Key,Rgsl_qag,5,,,398498496.0,ns,1
Key,Rgsl_qag,5,,,416612832.0,ns,1
Key,Rgsl_qag,5,,,442436371.0,ns,1
Key,Rgsl_qag,5,,,376888170.0,ns,1
Key,Rgsl_qag,5,,,371093752.0,ns,1
Key,Rgsl_qag,5,,,415733960.0,ns,1
Key,Rgsl_qag,5,,,411350518.0,ns,1
Key,Rgsl_qag,5,,,453803504.0,ns,1
Key,Rgsl_qag,5,,,508166957.0,ns,1
Key,Rgsl_qag,5,,,378623433.0,ns,1
Key,Rgsl_qag,5,,,390487831.0,ns,1
Key,Rgsl_qag,5,,,432504587.0,ns,1
Key,Rgsl_qag,5,,,395005318.0,ns,1
Key,Rgsl_qag,5,,,372030559.0,ns,1
Key,Rgsl_qag,5,,,446581474.0,ns,1
Key,Rgsl_qag,5,,,393981308.0,ns,1
Key,Rgsl_qag,5,,,450670823.0,ns,1
Key,Rgsl_qag,5,,,522559739.0,ns,1
Key,Rgsl_qag,5,,,381682825.0,ns,1
Key,Rgsl_qag,5,,,480373877.0,ns,1
Key,Rgsl_qag,5,,,360879356.0,ns,1
Key,Rgsl_qag,5,,,444498794.0,ns,1
Key,Rgsl_qag,5,,,421286510.0,ns,1
Key,Rgsl_qag,5,,,360441077.0,ns,1
Key,Rgsl_qag,5,,,386912396.0,ns,1
Key,Rgsl_qag,5,,,385033289.0,ns,1
Key,Rgsl_qag,5,,,361114118.0,ns,1
Key,Rgsl_qag,5,,,360986811.0,ns,1
Key,Rgsl_qag,5,,,406689914.0,ns,1
Key,Rgsl_qag,5,,,405363771.0,ns,1
Key,Rgsl_qag,5,,,360722603.0,ns,1
Key,Rgsl_qag,5,,,360777446.0,ns,1
Key,Rgsl_qag,5,,,359935405.0,ns,1
Key,Rgsl_qag,5,,,362611846.0,ns,1
Key,Rgsl_qag,5,,,426094025.0,ns,1
Key,Rgsl_qag,5,,,441169107.0,ns,1
Key,Rgsl_qag,5,,,369624088.0,ns,1
Key,Rgsl_qag,5,,,494177926.0,ns,1
Key,Rgsl_qag,5,,,429713682.0,ns,1
Key,Rgsl_qag,5,,,360215699.0,ns,1
Key,Rgsl_qag,5,,,501870357.0,ns,1
