group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Number_of_interval_subdivision,My_qag,1,,,46510383.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44805187.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44784391.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44758395.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44781496.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44839307.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44878566.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45332945.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44835170.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44839999.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45187213.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45359179.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44832985.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44792553.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44772427.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44783407.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44816275.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44864379.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45086731.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44778008.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44828596.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45275151.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45314971.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44810735.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44753494.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44781443.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44782094.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44787174.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44837452.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44817166.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45032084.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44913966.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,54160502.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,67470806.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68202744.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,62213905.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44777916.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,60596222.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,61656165.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45086098.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44865249.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44840885.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,62356587.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44791408.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44758491.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44814890.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44780769.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,60472546.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68467238.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,57126592.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44761546.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,50771182.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,60460889.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44764158.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44780377.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44779886.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,47811117.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68461686.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,67576979.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,67300945.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,47007864.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45173398.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44778132.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44779265.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44782581.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,47662334.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44764179.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44779666.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44947481.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,50128370.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68384583.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,60217144.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,62588443.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68612878.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68549337.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,65681022.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44778742.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45067960.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44822429.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44885930.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,61983029.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68540110.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68515066.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68527359.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,68477911.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,56902474.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44778281.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44879258.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45114457.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45343844.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44889515.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44754457.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44781274.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44783006.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44779521.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44781714.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45102048.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44774542.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,45306447.0,ns,13
Number_of_interval_subdivision,My_qag,1,,,44870261.0,ns,13
