group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Number_of_interval_subdivision,My_qag,64,,,129126670.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,110406006.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,113166762.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,134761413.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,125588132.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105084042.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105115999.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105569036.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105262200.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105281384.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105111771.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105827737.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,103389444.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,138536756.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,161810454.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,161567583.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,156354837.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,155660551.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,160769741.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,161626617.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,160933726.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,161261827.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,161569264.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,160809651.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,136916044.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105222994.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,115514288.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,139605081.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105109663.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,114557498.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,155982279.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,162102262.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,147467096.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,155524232.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,135922045.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,135481801.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,145241234.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,160103660.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,161003362.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,121748668.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105581577.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,157574689.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,160664517.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,121316153.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105108705.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,102498744.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105113674.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105096564.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105231073.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,128676868.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,131041997.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105108186.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105216348.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,106114851.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,123918959.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105136205.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105101694.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105173713.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,104084764.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,106035991.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,104572642.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100107861.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100202931.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100379285.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,99832381.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,99686170.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,102593283.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100868568.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,101181825.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100845126.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100903079.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100962716.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100904342.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,116409142.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105656736.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,99574419.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,99637594.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,99623296.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100649311.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100252758.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100214992.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100274779.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100206897.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,126662663.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,101193597.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,100894604.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,134073020.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,121994077.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105278074.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105115263.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105435333.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105282121.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105736711.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105088686.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,113853189.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,108602864.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,138303495.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,150742390.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,105103122.0,ns,1
Number_of_interval_subdivision,My_qag,64,,,122126735.0,ns,1
