group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Number_of_interval_subdivision,My_qag_par,64,,,75299349.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,94979141.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,92851119.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,98357615.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,92099326.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,80074158.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,92857050.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,82568613.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,95453518.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,86237927.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,84139770.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,95614771.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,95554335.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,83000078.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,92661076.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,97542047.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,86620325.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,97323727.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,87410927.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,89216172.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,84305670.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,88418908.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,81467180.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,87590925.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,97433811.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,92321095.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,98069344.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,85413984.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,96075864.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,96378594.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,85570884.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,85017477.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,83062242.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,81414063.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,79201806.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,88559229.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,98101831.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,94639936.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,88175071.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,89373753.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,79884226.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,86385354.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,91533913.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,86833703.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,87422998.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,82903565.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,90866538.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,95289903.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,98440815.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,87905676.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,86074943.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,90418337.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,94924209.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,84260069.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,87456223.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,90851157.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,90278832.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,82558742.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,97523332.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,95771120.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,89701319.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,80619936.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,89084788.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,93714063.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,88898114.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,97086482.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,92317582.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,81392309.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,83519713.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,88230515.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,86035861.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,91751500.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,81499500.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,88942879.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,97876251.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,96929498.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,82384052.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,88418431.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,80899358.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,83419086.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,91757756.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,91927881.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,89959551.0,ns,2
Number_of_interval_subdivision,My_qag_par,64,,,84328903.0,ns,2
