group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Number_of_interval_subdivision,My_qag_par,8,,,73016124.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78856979.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,79115874.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78916271.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78895013.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78620327.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,71917202.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,52400208.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51311649.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51176781.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51085298.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51128315.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,56675471.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78482393.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78352322.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,77947334.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,77644321.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78697610.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78659914.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,77097766.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51090445.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51106122.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51445243.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,56668638.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51100162.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51129523.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,58516462.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78307580.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78528731.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78299585.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,59995012.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,50287689.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51107302.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51102955.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51105509.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51130543.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51104838.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51105499.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51104057.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51103996.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,58088624.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,66757106.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,67556493.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,66841256.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,66692682.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,66981584.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,66833462.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,68650322.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,57290163.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51193352.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51105246.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51126713.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51218136.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51103773.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51106748.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51126764.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51104884.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,55628815.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,74304998.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51125021.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51106408.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51103512.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51107299.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51103914.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51128606.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51104575.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51440150.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51346608.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51255259.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51127913.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51102538.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,54648414.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78262439.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,74417312.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,51106695.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,68321895.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78629880.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78656337.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78454289.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78376381.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78481187.0,ns,5
Number_of_interval_subdivision,My_qag_par,8,,,78862242.0,ns,5
