group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Number_of_interval_subdivision,Rgsl_qag,1,,,63761417.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,49358377.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44775474.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,49365049.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,67455493.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,51103797.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,66001423.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,62684469.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44776505.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45231082.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44779030.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44874958.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44780853.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45002932.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44776956.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44777517.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44826532.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45298136.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44836729.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44761027.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45161690.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44830017.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44780430.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44781773.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45050083.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44771345.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44780571.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45149648.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44797380.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44766386.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44782203.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45163703.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45064409.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44821252.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44835547.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45116890.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44779259.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44786281.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45207900.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45530286.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44970973.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45182023.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44901802.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45074544.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44778966.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44884442.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45172817.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44887407.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44778295.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,46440982.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44773006.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44781762.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,44764641.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45587003.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,61484526.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,63744539.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,63286847.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,65823787.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,68776194.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,65248306.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,68202667.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,46473337.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,66531214.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,67751044.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,61598952.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,67771330.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,68343884.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,68325833.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,69211406.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,61381310.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,66430418.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,67093760.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,65306736.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,67938733.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,46340146.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,60305307.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,67467855.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,66111114.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,45220457.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,54798285.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,67045804.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,67614252.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,50707906.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,50054490.0,ns,13
Number_of_interval_subdivision,Rgsl_qag,1,,,68146186.0,ns,13
