group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Qag,My_qag,0,,,75842598.0,ns,1
Qag,My_qag,0,,,62302153.0,ns,1
Qag,My_qag,0,,,68955478.0,ns,1
Qag,My_qag,0,,,77214433.0,ns,1
Qag,My_qag,0,,,76576242.0,ns,1
Qag,My_qag,0,,,50962643.0,ns,1
Qag,My_qag,0,,,50873333.0,ns,1
Qag,My_qag,0,,,51626766.0,ns,1
Qag,My_qag,0,,,71136533.0,ns,1
Qag,My_qag,0,,,55669699.0,ns,1
Qag,My_qag,0,,,50881078.0,ns,1
Qag,My_qag,0,,,50900255.0,ns,1
Qag,My_qag,0,,,50884314.0,ns,1
Qag,My_qag,0,,,50882862.0,ns,1
Qag,My_qag,0,,,50960309.0,ns,1
Qag,My_qag,0,,,51049267.0,ns,1
Qag,My_qag,0,,,50882140.0,ns,1
Qag,My_qag,0,,,52989275.0,ns,1
Qag,My_qag,0,,,49306386.0,ns,1
Qag,My_qag,0,,,50210954.0,ns,1
Qag,My_qag,0,,,49673122.0,ns,1
Qag,My_qag,0,,,50879084.0,ns,1
Qag,My_qag,0,,,50883303.0,ns,1
Qag,My_qag,0,,,50882070.0,ns,1
Qag,My_qag,0,,,51132566.0,ns,1
Qag,My_qag,0,,,60588758.0,ns,1
Qag,My_qag,0,,,51181709.0,ns,1
Qag,My_qag,0,,,50614391.0,ns,1
Qag,My_qag,0,,,48478092.0,ns,1
Qag,My_qag,0,,,49604412.0,ns,1
Qag,My_qag,0,,,50349688.0,ns,1
Qag,My_qag,0,,,50882341.0,ns,1
Qag,My_qag,0,,,50885316.0,ns,1
Qag,My_qag,0,,,50917317.0,ns,1
Qag,My_qag,0,,,49492820.0,ns,1
Qag,My_qag,0,,,50936654.0,ns,1
Qag,My_qag,0,,,51182270.0,ns,1
Qag,My_qag,0,,,50625493.0,ns,1
Qag,My_qag,0,,,49578393.0,ns,1
Qag,My_qag,0,,,49300063.0,ns,1
Qag,My_qag,0,,,50419171.0,ns,1
Qag,My_qag,0,,,50878803.0,ns,1
Qag,My_qag,0,,,50883734.0,ns,1
Qag,My_qag,0,,,50902839.0,ns,1
Qag,My_qag,0,,,51574737.0,ns,1
Qag,My_qag,0,,,51082902.0,ns,1
Qag,My_qag,0,,,50791387.0,ns,1
Qag,My_qag,0,,,48855419.0,ns,1
Qag,My_qag,0,,,49864155.0,ns,1
Qag,My_qag,0,,,49275848.0,ns,1
Qag,My_qag,0,,,50555019.0,ns,1
Qag,My_qag,0,,,50877321.0,ns,1
Qag,My_qag,0,,,50886248.0,ns,1
Qag,My_qag,0,,,50880216.0,ns,1
Qag,My_qag,0,,,49454197.0,ns,1
Qag,My_qag,0,,,50878784.0,ns,1
Qag,My_qag,0,,,51080859.0,ns,1
Qag,My_qag,0,,,50285336.0,ns,1
Qag,My_qag,0,,,50099192.0,ns,1
Qag,My_qag,0,,,48998160.0,ns,1
Qag,My_qag,0,,,50217136.0,ns,1
Qag,My_qag,0,,,50878904.0,ns,1
Qag,My_qag,0,,,50882451.0,ns,1
Qag,My_qag,0,,,50904272.0,ns,1
Qag,My_qag,0,,,50882070.0,ns,1
Qag,My_qag,0,,,50995656.0,ns,1
Qag,My_qag,0,,,51226625.0,ns,1
Qag,My_qag,0,,,50184294.0,ns,1
Qag,My_qag,0,,,67959165.0,ns,1
Qag,My_qag,0,,,78042037.0,ns,1
Qag,My_qag,0,,,78051565.0,ns,1
Qag,My_qag,0,,,78103534.0,ns,1
Qag,My_qag,0,,,78719966.0,ns,1
Qag,My_qag,0,,,73600937.0,ns,1
Qag,My_qag,0,,,69598119.0,ns,1
Qag,My_qag,0,,,62745446.0,ns,1
Qag,My_qag,0,,,50860439.0,ns,1
Qag,My_qag,0,,,50903431.0,ns,1
Qag,My_qag,0,,,50884074.0,ns,1
Qag,My_qag,0,,,50881049.0,ns,1
Qag,My_qag,0,,,50900795.0,ns,1
Qag,My_qag,0,,,50886699.0,ns,1
Qag,My_qag,0,,,51114492.0,ns,1
Qag,My_qag,0,,,50664767.0,ns,1
Qag,My_qag,0,,,48579695.0,ns,1
Qag,My_qag,0,,,48587510.0,ns,1
Qag,My_qag,0,,,50149347.0,ns,1
Qag,My_qag,0,,,50898672.0,ns,1
Qag,My_qag,0,,,50883052.0,ns,1
Qag,My_qag,0,,,50885727.0,ns,1
Qag,My_qag,0,,,50009803.0,ns,1
Qag,My_qag,0,,,50883473.0,ns,1
Qag,My_qag,0,,,51276099.0,ns,1
Qag,My_qag,0,,,50733508.0,ns,1
Qag,My_qag,0,,,48588912.0,ns,1
Qag,My_qag,0,,,48993892.0,ns,1
Qag,My_qag,0,,,50241442.0,ns,1
Qag,My_qag,0,,,50883333.0,ns,1
Qag,My_qag,0,,,50882742.0,ns,1
Qag,My_qag,0,,,50883702.0,ns,1
