group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Qag,My_qag,3,,,52641751.0,ns,1
Qag,My_qag,3,,,52338084.0,ns,1
Qag,My_qag,3,,,52342523.0,ns,1
Qag,My_qag,3,,,52400953.0,ns,1
Qag,My_qag,3,,,52340328.0,ns,1
Qag,My_qag,3,,,52341891.0,ns,1
Qag,My_qag,3,,,51198387.0,ns,1
Qag,My_qag,3,,,49699980.0,ns,1
Qag,My_qag,3,,,54024489.0,ns,1
Qag,My_qag,3,,,51934367.0,ns,1
Qag,My_qag,3,,,50907785.0,ns,1
Qag,My_qag,3,,,50610781.0,ns,1
Qag,My_qag,3,,,50255395.0,ns,1
Qag,My_qag,3,,,49430257.0,ns,1
Qag,My_qag,3,,,49496042.0,ns,1
Qag,My_qag,3,,,51128365.0,ns,1
Qag,My_qag,3,,,49525508.0,ns,1
Qag,My_qag,3,,,49525468.0,ns,1
Qag,My_qag,3,,,49490992.0,ns,1
Qag,My_qag,3,,,49528784.0,ns,1
Qag,My_qag,3,,,49522753.0,ns,1
Qag,My_qag,3,,,49492176.0,ns,1
Qag,My_qag,3,,,49525579.0,ns,1
Qag,My_qag,3,,,49529325.0,ns,1
Qag,My_qag,3,,,49487857.0,ns,1
Qag,My_qag,3,,,49527792.0,ns,1
Qag,My_qag,3,,,49491143.0,ns,1
Qag,My_qag,3,,,49529677.0,ns,1
Qag,My_qag,3,,,49523995.0,ns,1
Qag,My_qag,3,,,49491774.0,ns,1
Qag,My_qag,3,,,49525828.0,ns,1
Qag,My_qag,3,,,49491253.0,ns,1
Qag,My_qag,3,,,49526029.0,ns,1
Qag,My_qag,3,,,49526962.0,ns,1
Qag,My_qag,3,,,49492395.0,ns,1
Qag,My_qag,3,,,49524998.0,ns,1
Qag,My_qag,3,,,49526070.0,ns,1
Qag,My_qag,3,,,49492404.0,ns,1
Qag,My_qag,3,,,52116633.0,ns,1
Qag,My_qag,3,,,52490484.0,ns,1
Qag,My_qag,3,,,52766358.0,ns,1
Qag,My_qag,3,,,50351890.0,ns,1
Qag,My_qag,3,,,49524336.0,ns,1
Qag,My_qag,3,,,52299040.0,ns,1
Qag,My_qag,3,,,52338284.0,ns,1
Qag,My_qag,3,,,52345649.0,ns,1
Qag,My_qag,3,,,52341971.0,ns,1
Qag,My_qag,3,,,52055588.0,ns,1
Qag,My_qag,3,,,49802556.0,ns,1
Qag,My_qag,3,,,50445506.0,ns,1
Qag,My_qag,3,,,52312967.0,ns,1
Qag,My_qag,3,,,52340739.0,ns,1
Qag,My_qag,3,,,52406304.0,ns,1
Qag,My_qag,3,,,52336079.0,ns,1
Qag,My_qag,3,,,52403769.0,ns,1
Qag,My_qag,3,,,52338425.0,ns,1
Qag,My_qag,3,,,52342582.0,ns,1
Qag,My_qag,3,,,52342422.0,ns,1
Qag,My_qag,3,,,52341550.0,ns,1
Qag,My_qag,3,,,52411533.0,ns,1
Qag,My_qag,3,,,52330570.0,ns,1
Qag,My_qag,3,,,52341991.0,ns,1
Qag,My_qag,3,,,52343936.0,ns,1
Qag,My_qag,3,,,52339687.0,ns,1
Qag,My_qag,3,,,52403007.0,ns,1
Qag,My_qag,3,,,52156099.0,ns,1
Qag,My_qag,3,,,49584721.0,ns,1
Qag,My_qag,3,,,49537862.0,ns,1
Qag,My_qag,3,,,49522072.0,ns,1
Qag,My_qag,3,,,52284142.0,ns,1
Qag,My_qag,3,,,52338645.0,ns,1
Qag,My_qag,3,,,52342192.0,ns,1
Qag,My_qag,3,,,52342181.0,ns,1
Qag,My_qag,3,,,52450087.0,ns,1
Qag,My_qag,3,,,52347782.0,ns,1
Qag,My_qag,3,,,52400963.0,ns,1
Qag,My_qag,3,,,52342934.0,ns,1
Qag,My_qag,3,,,52338986.0,ns,1
Qag,My_qag,3,,,59129702.0,ns,1
Qag,My_qag,3,,,78897774.0,ns,1
Qag,My_qag,3,,,79180822.0,ns,1
Qag,My_qag,3,,,79052568.0,ns,1
Qag,My_qag,3,,,79190239.0,ns,1
Qag,My_qag,3,,,78802423.0,ns,1
Qag,My_qag,3,,,79220617.0,ns,1
Qag,My_qag,3,,,63155213.0,ns,1
Qag,My_qag,3,,,52215912.0,ns,1
Qag,My_qag,3,,,52359044.0,ns,1
Qag,My_qag,3,,,52328877.0,ns,1
Qag,My_qag,3,,,52348273.0,ns,1
Qag,My_qag,3,,,52337142.0,ns,1
Qag,My_qag,3,,,52341240.0,ns,1
Qag,My_qag,3,,,69971017.0,ns,1
Qag,My_qag,3,,,58042105.0,ns,1
Qag,My_qag,3,,,76138830.0,ns,1
Qag,My_qag,3,,,79164490.0,ns,1
Qag,My_qag,3,,,79128572.0,ns,1
Qag,My_qag,3,,,79323392.0,ns,1
Qag,My_qag,3,,,79148059.0,ns,1
Qag,My_qag,3,,,77090269.0,ns,1
