group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Qag,My_qag_par,0,,,68998621.0,ns,2
Qag,My_qag_par,0,,,73107580.0,ns,2
Qag,My_qag_par,0,,,67681137.0,ns,2
Qag,My_qag_par,0,,,74826236.0,ns,2
Qag,My_qag_par,0,,,69993362.0,ns,2
Qag,My_qag_par,0,,,70190566.0,ns,2
Qag,My_qag_par,0,,,70288553.0,ns,2
Qag,My_qag_par,0,,,70048407.0,ns,2
Qag,My_qag_par,0,,,75303513.0,ns,2
Qag,My_qag_par,0,,,76496300.0,ns,2
Qag,My_qag_par,0,,,72161543.0,ns,2
Qag,My_qag_par,0,,,70620354.0,ns,2
Qag,My_qag_par,0,,,75087313.0,ns,2
Qag,My_qag_par,0,,,69889324.0,ns,2
Qag,My_qag_par,0,,,73600307.0,ns,2
Qag,My_qag_par,0,,,75064749.0,ns,2
Qag,My_qag_par,0,,,69608700.0,ns,2
Qag,My_qag_par,0,,,73125925.0,ns,2
Qag,My_qag_par,0,,,75361243.0,ns,2
Qag,My_qag_par,0,,,75002522.0,ns,2
Qag,My_qag_par,0,,,62088148.0,ns,2
Qag,My_qag_par,0,,,71086719.0,ns,2
Qag,My_qag_par,0,,,74156985.0,ns,2
Qag,My_qag_par,0,,,77000870.0,ns,2
Qag,My_qag_par,0,,,68995405.0,ns,2
Qag,My_qag_par,0,,,73439631.0,ns,2
Qag,My_qag_par,0,,,73341585.0,ns,2
Qag,My_qag_par,0,,,75021678.0,ns,2
Qag,My_qag_par,0,,,73994557.0,ns,2
Qag,My_qag_par,0,,,72856874.0,ns,2
Qag,My_qag_par,0,,,74912220.0,ns,2
Qag,My_qag_par,0,,,64492157.0,ns,2
Qag,My_qag_par,0,,,64160286.0,ns,2
Qag,My_qag_par,0,,,64408528.0,ns,2
Qag,My_qag_par,0,,,75777004.0,ns,2
Qag,My_qag_par,0,,,76713384.0,ns,2
Qag,My_qag_par,0,,,75351586.0,ns,2
Qag,My_qag_par,0,,,75347757.0,ns,2
Qag,My_qag_par,0,,,70903202.0,ns,2
Qag,My_qag_par,0,,,75143209.0,ns,2
Qag,My_qag_par,0,,,73228400.0,ns,2
Qag,My_qag_par,0,,,75342177.0,ns,2
Qag,My_qag_par,0,,,69467302.0,ns,2
Qag,My_qag_par,0,,,73424443.0,ns,2
Qag,My_qag_par,0,,,75446706.0,ns,2
Qag,My_qag_par,0,,,68480096.0,ns,2
Qag,My_qag_par,0,,,59893868.0,ns,2
Qag,My_qag_par,0,,,74935594.0,ns,2
Qag,My_qag_par,0,,,69925784.0,ns,2
Qag,My_qag_par,0,,,68967362.0,ns,2
Qag,My_qag_par,0,,,75962817.0,ns,2
Qag,My_qag_par,0,,,75866484.0,ns,2
Qag,My_qag_par,0,,,67768934.0,ns,2
Qag,My_qag_par,0,,,73468997.0,ns,2
Qag,My_qag_par,0,,,67549918.0,ns,2
Qag,My_qag_par,0,,,70502829.0,ns,2
Qag,My_qag_par,0,,,73814093.0,ns,2
Qag,My_qag_par,0,,,62551700.0,ns,2
Qag,My_qag_par,0,,,75772064.0,ns,2
Qag,My_qag_par,0,,,74302211.0,ns,2
Qag,My_qag_par,0,,,63745799.0,ns,2
Qag,My_qag_par,0,,,69403511.0,ns,2
Qag,My_qag_par,0,,,72784626.0,ns,2
Qag,My_qag_par,0,,,63870576.0,ns,2
Qag,My_qag_par,0,,,73174077.0,ns,2
Qag,My_qag_par,0,,,65306805.0,ns,2
Qag,My_qag_par,0,,,68138887.0,ns,2
Qag,My_qag_par,0,,,63626843.0,ns,2
Qag,My_qag_par,0,,,69366190.0,ns,2
Qag,My_qag_par,0,,,64230850.0,ns,2
Qag,My_qag_par,0,,,63808848.0,ns,2
Qag,My_qag_par,0,,,56793105.0,ns,2
Qag,My_qag_par,0,,,71042486.0,ns,2
Qag,My_qag_par,0,,,76232619.0,ns,2
Qag,My_qag_par,0,,,72754490.0,ns,2
Qag,My_qag_par,0,,,63682608.0,ns,2
Qag,My_qag_par,0,,,62843554.0,ns,2
Qag,My_qag_par,0,,,65986547.0,ns,2
Qag,My_qag_par,0,,,71309112.0,ns,2
Qag,My_qag_par,0,,,72498323.0,ns,2
Qag,My_qag_par,0,,,68423959.0,ns,2
Qag,My_qag_par,0,,,66840360.0,ns,2
Qag,My_qag_par,0,,,76017772.0,ns,2
Qag,My_qag_par,0,,,65357601.0,ns,2
Qag,My_qag_par,0,,,62408948.0,ns,2
Qag,My_qag_par,0,,,61295963.0,ns,2
Qag,My_qag_par,0,,,61025088.0,ns,2
Qag,My_qag_par,0,,,64015872.0,ns,2
Qag,My_qag_par,0,,,64412676.0,ns,2
Qag,My_qag_par,0,,,69122017.0,ns,2
Qag,My_qag_par,0,,,71192421.0,ns,2
Qag,My_qag_par,0,,,71709434.0,ns,2
Qag,My_qag_par,0,,,75700037.0,ns,2
Qag,My_qag_par,0,,,74346796.0,ns,2
Qag,My_qag_par,0,,,69740030.0,ns,2
Qag,My_qag_par,0,,,69298051.0,ns,2
Qag,My_qag_par,0,,,64347693.0,ns,2
Qag,My_qag_par,0,,,70625654.0,ns,2
Qag,My_qag_par,0,,,75391221.0,ns,2
Qag,My_qag_par,0,,,76081462.0,ns,2
