group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Qag,My_qag_par,2,,,73045058.0,ns,2
Qag,My_qag_par,2,,,62946875.0,ns,2
Qag,My_qag_par,2,,,74465096.0,ns,2
Qag,My_qag_par,2,,,69078228.0,ns,2
Qag,My_qag_par,2,,,74689753.0,ns,2
Qag,My_qag_par,2,,,75719350.0,ns,2
Qag,My_qag_par,2,,,75944319.0,ns,2
Qag,My_qag_par,2,,,75180706.0,ns,2
Qag,My_qag_par,2,,,63804686.0,ns,2
Qag,My_qag_par,2,,,61728719.0,ns,2
Qag,My_qag_par,2,,,67755765.0,ns,2
Qag,My_qag_par,2,,,75947845.0,ns,2
Qag,My_qag_par,2,,,76130412.0,ns,2
Qag,My_qag_par,2,,,76319460.0,ns,2
Qag,My_qag_par,2,,,73179483.0,ns,2
Qag,My_qag_par,2,,,75891858.0,ns,2
Qag,My_qag_par,2,,,71803818.0,ns,2
Qag,My_qag_par,2,,,69402395.0,ns,2
Qag,My_qag_par,2,,,75766931.0,ns,2
Qag,My_qag_par,2,,,75272129.0,ns,2
Qag,My_qag_par,2,,,76328398.0,ns,2
Qag,My_qag_par,2,,,72440199.0,ns,2
Qag,My_qag_par,2,,,75301286.0,ns,2
Qag,My_qag_par,2,,,74358324.0,ns,2
Qag,My_qag_par,2,,,75482029.0,ns,2
Qag,My_qag_par,2,,,72993540.0,ns,2
Qag,My_qag_par,2,,,76005334.0,ns,2
Qag,My_qag_par,2,,,72638314.0,ns,2
Qag,My_qag_par,2,,,70183359.0,ns,2
Qag,My_qag_par,2,,,64014214.0,ns,2
Qag,My_qag_par,2,,,69773059.0,ns,2
Qag,My_qag_par,2,,,73661970.0,ns,2
Qag,My_qag_par,2,,,74870397.0,ns,2
Qag,My_qag_par,2,,,75303720.0,ns,2
Qag,My_qag_par,2,,,74658013.0,ns,2
Qag,My_qag_par,2,,,74766940.0,ns,2
Qag,My_qag_par,2,,,70561157.0,ns,2
Qag,My_qag_par,2,,,66970643.0,ns,2
Qag,My_qag_par,2,,,74754106.0,ns,2
Qag,My_qag_par,2,,,64031767.0,ns,2
Qag,My_qag_par,2,,,69623124.0,ns,2
Qag,My_qag_par,2,,,74890867.0,ns,2
Qag,My_qag_par,2,,,76395616.0,ns,2
Qag,My_qag_par,2,,,75851992.0,ns,2
Qag,My_qag_par,2,,,64357086.0,ns,2
Qag,My_qag_par,2,,,64616488.0,ns,2
Qag,My_qag_par,2,,,63703955.0,ns,2
Qag,My_qag_par,2,,,65175320.0,ns,2
Qag,My_qag_par,2,,,64695329.0,ns,2
Qag,My_qag_par,2,,,68140316.0,ns,2
Qag,My_qag_par,2,,,67338252.0,ns,2
Qag,My_qag_par,2,,,70913266.0,ns,2
Qag,My_qag_par,2,,,69809258.0,ns,2
Qag,My_qag_par,2,,,76082311.0,ns,2
Qag,My_qag_par,2,,,63277404.0,ns,2
Qag,My_qag_par,2,,,63233601.0,ns,2
Qag,My_qag_par,2,,,75580648.0,ns,2
Qag,My_qag_par,2,,,75037455.0,ns,2
Qag,My_qag_par,2,,,72994332.0,ns,2
Qag,My_qag_par,2,,,62138989.0,ns,2
Qag,My_qag_par,2,,,75642966.0,ns,2
Qag,My_qag_par,2,,,76091538.0,ns,2
Qag,My_qag_par,2,,,72152301.0,ns,2
Qag,My_qag_par,2,,,74839309.0,ns,2
Qag,My_qag_par,2,,,75600235.0,ns,2
Qag,My_qag_par,2,,,68674381.0,ns,2
Qag,My_qag_par,2,,,63879769.0,ns,2
Qag,My_qag_par,2,,,75333057.0,ns,2
Qag,My_qag_par,2,,,74795234.0,ns,2
Qag,My_qag_par,2,,,70375585.0,ns,2
Qag,My_qag_par,2,,,75925373.0,ns,2
Qag,My_qag_par,2,,,75877311.0,ns,2
Qag,My_qag_par,2,,,73327685.0,ns,2
Qag,My_qag_par,2,,,75834500.0,ns,2
Qag,My_qag_par,2,,,77546764.0,ns,2
Qag,My_qag_par,2,,,76583744.0,ns,2
Qag,My_qag_par,2,,,75154527.0,ns,2
Qag,My_qag_par,2,,,74787780.0,ns,2
Qag,My_qag_par,2,,,69863221.0,ns,2
Qag,My_qag_par,2,,,64251855.0,ns,2
Qag,My_qag_par,2,,,65059591.0,ns,2
Qag,My_qag_par,2,,,75661761.0,ns,2
Qag,My_qag_par,2,,,74901818.0,ns,2
Qag,My_qag_par,2,,,72612866.0,ns,2
Qag,My_qag_par,2,,,69749484.0,ns,2
Qag,My_qag_par,2,,,75403260.0,ns,2
Qag,My_qag_par,2,,,72061629.0,ns,2
Qag,My_qag_par,2,,,75675908.0,ns,2
Qag,My_qag_par,2,,,75255870.0,ns,2
Qag,My_qag_par,2,,,75741063.0,ns,2
Qag,My_qag_par,2,,,74450209.0,ns,2
Qag,My_qag_par,2,,,70599801.0,ns,2
Qag,My_qag_par,2,,,74026563.0,ns,2
Qag,My_qag_par,2,,,64853610.0,ns,2
Qag,My_qag_par,2,,,60058917.0,ns,2
Qag,My_qag_par,2,,,58692340.0,ns,2
Qag,My_qag_par,2,,,69035908.0,ns,2
Qag,My_qag_par,2,,,76556262.0,ns,2
Qag,My_qag_par,2,,,64931788.0,ns,2
Qag,My_qag_par,2,,,74920663.0,ns,2
