group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Qag,Rgsl_qag,0,,,49749928.0,ns,1
Qag,Rgsl_qag,0,,,49066328.0,ns,1
Qag,Rgsl_qag,0,,,50936803.0,ns,1
Qag,Rgsl_qag,0,,,50120753.0,ns,1
Qag,Rgsl_qag,0,,,49122685.0,ns,1
Qag,Rgsl_qag,0,,,50875097.0,ns,1
Qag,Rgsl_qag,0,,,67102314.0,ns,1
Qag,Rgsl_qag,0,,,76025703.0,ns,1
Qag,Rgsl_qag,0,,,66533765.0,ns,1
Qag,Rgsl_qag,0,,,76749860.0,ns,1
Qag,Rgsl_qag,0,,,69642974.0,ns,1
Qag,Rgsl_qag,0,,,61580100.0,ns,1
Qag,Rgsl_qag,0,,,76765270.0,ns,1
Qag,Rgsl_qag,0,,,76694144.0,ns,1
Qag,Rgsl_qag,0,,,75917979.0,ns,1
Qag,Rgsl_qag,0,,,74711005.0,ns,1
Qag,Rgsl_qag,0,,,74535292.0,ns,1
Qag,Rgsl_qag,0,,,76712028.0,ns,1
Qag,Rgsl_qag,0,,,74724671.0,ns,1
Qag,Rgsl_qag,0,,,66526752.0,ns,1
Qag,Rgsl_qag,0,,,74188532.0,ns,1
Qag,Rgsl_qag,0,,,76616417.0,ns,1
Qag,Rgsl_qag,0,,,76957063.0,ns,1
Qag,Rgsl_qag,0,,,77271963.0,ns,1
Qag,Rgsl_qag,0,,,76747416.0,ns,1
Qag,Rgsl_qag,0,,,74645140.0,ns,1
Qag,Rgsl_qag,0,,,69082799.0,ns,1
Qag,Rgsl_qag,0,,,51048947.0,ns,1
Qag,Rgsl_qag,0,,,51081098.0,ns,1
Qag,Rgsl_qag,0,,,50894172.0,ns,1
Qag,Rgsl_qag,0,,,51001586.0,ns,1
Qag,Rgsl_qag,0,,,50876579.0,ns,1
Qag,Rgsl_qag,0,,,50901817.0,ns,1
Qag,Rgsl_qag,0,,,50906365.0,ns,1
Qag,Rgsl_qag,0,,,51102879.0,ns,1
Qag,Rgsl_qag,0,,,50863303.0,ns,1
Qag,Rgsl_qag,0,,,51214081.0,ns,1
Qag,Rgsl_qag,0,,,51287199.0,ns,1
Qag,Rgsl_qag,0,,,50898390.0,ns,1
Qag,Rgsl_qag,0,,,50876498.0,ns,1
Qag,Rgsl_qag,0,,,50960859.0,ns,1
Qag,Rgsl_qag,0,,,50878453.0,ns,1
Qag,Rgsl_qag,0,,,50944658.0,ns,1
Qag,Rgsl_qag,0,,,50939679.0,ns,1
Qag,Rgsl_qag,0,,,50951101.0,ns,1
Qag,Rgsl_qag,0,,,50884633.0,ns,1
Qag,Rgsl_qag,0,,,51192400.0,ns,1
Qag,Rgsl_qag,0,,,51197099.0,ns,1
Qag,Rgsl_qag,0,,,60133491.0,ns,1
Qag,Rgsl_qag,0,,,76806738.0,ns,1
Qag,Rgsl_qag,0,,,76831345.0,ns,1
Qag,Rgsl_qag,0,,,77060662.0,ns,1
Qag,Rgsl_qag,0,,,77046704.0,ns,1
Qag,Rgsl_qag,0,,,54068144.0,ns,1
Qag,Rgsl_qag,0,,,51357914.0,ns,1
Qag,Rgsl_qag,0,,,51066300.0,ns,1
