group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Qag,Rgsl_qag,2,,,75188930.0,ns,1
Qag,Rgsl_qag,2,,,69833983.0,ns,1
Qag,Rgsl_qag,2,,,51016910.0,ns,1
Qag,Rgsl_qag,2,,,50860814.0,ns,1
Qag,Rgsl_qag,2,,,50886331.0,ns,1
Qag,Rgsl_qag,2,,,50894197.0,ns,1
Qag,Rgsl_qag,2,,,50887464.0,ns,1
Qag,Rgsl_qag,2,,,50885030.0,ns,1
Qag,Rgsl_qag,2,,,50894207.0,ns,1
Qag,Rgsl_qag,2,,,62581990.0,ns,1
Qag,Rgsl_qag,2,,,76498960.0,ns,1
Qag,Rgsl_qag,2,,,73824366.0,ns,1
Qag,Rgsl_qag,2,,,77855378.0,ns,1
Qag,Rgsl_qag,2,,,77929468.0,ns,1
Qag,Rgsl_qag,2,,,78068503.0,ns,1
Qag,Rgsl_qag,2,,,75523085.0,ns,1
Qag,Rgsl_qag,2,,,49913353.0,ns,1
Qag,Rgsl_qag,2,,,48806359.0,ns,1
Qag,Rgsl_qag,2,,,65243118.0,ns,1
Qag,Rgsl_qag,2,,,77344927.0,ns,1
Qag,Rgsl_qag,2,,,77279734.0,ns,1
Qag,Rgsl_qag,2,,,77546160.0,ns,1
Qag,Rgsl_qag,2,,,77568092.0,ns,1
Qag,Rgsl_qag,2,,,67053478.0,ns,1
Qag,Rgsl_qag,2,,,50176513.0,ns,1
Qag,Rgsl_qag,2,,,58327394.0,ns,1
Qag,Rgsl_qag,2,,,56132843.0,ns,1
Qag,Rgsl_qag,2,,,50869601.0,ns,1
Qag,Rgsl_qag,2,,,50383657.0,ns,1
Qag,Rgsl_qag,2,,,50897042.0,ns,1
Qag,Rgsl_qag,2,,,50883757.0,ns,1
Qag,Rgsl_qag,2,,,50882775.0,ns,1
Qag,Rgsl_qag,2,,,51092615.0,ns,1
Qag,Rgsl_qag,2,,,51064710.0,ns,1
Qag,Rgsl_qag,2,,,50951406.0,ns,1
Qag,Rgsl_qag,2,,,51141036.0,ns,1
Qag,Rgsl_qag,2,,,50912061.0,ns,1
Qag,Rgsl_qag,2,,,50902452.0,ns,1
Qag,Rgsl_qag,2,,,50879770.0,ns,1
Qag,Rgsl_qag,2,,,50885751.0,ns,1
Qag,Rgsl_qag,2,,,50882755.0,ns,1
Qag,Rgsl_qag,2,,,50899667.0,ns,1
Qag,Rgsl_qag,2,,,51097243.0,ns,1
Qag,Rgsl_qag,2,,,50844743.0,ns,1
Qag,Rgsl_qag,2,,,50455654.0,ns,1
Qag,Rgsl_qag,2,,,49504796.0,ns,1
Qag,Rgsl_qag,2,,,50929504.0,ns,1
Qag,Rgsl_qag,2,,,50883627.0,ns,1
Qag,Rgsl_qag,2,,,50883948.0,ns,1
Qag,Rgsl_qag,2,,,50884218.0,ns,1
Qag,Rgsl_qag,2,,,50896942.0,ns,1
Qag,Rgsl_qag,2,,,50888526.0,ns,1
Qag,Rgsl_qag,2,,,51700209.0,ns,1
Qag,Rgsl_qag,2,,,50333070.0,ns,1
Qag,Rgsl_qag,2,,,49745294.0,ns,1
Qag,Rgsl_qag,2,,,50957447.0,ns,1
Qag,Rgsl_qag,2,,,50926799.0,ns,1
Qag,Rgsl_qag,2,,,50884088.0,ns,1
Qag,Rgsl_qag,2,,,50884037.0,ns,1
Qag,Rgsl_qag,2,,,50883748.0,ns,1
Qag,Rgsl_qag,2,,,50900188.0,ns,1
Qag,Rgsl_qag,2,,,50883387.0,ns,1
Qag,Rgsl_qag,2,,,51362617.0,ns,1
Qag,Rgsl_qag,2,,,50909596.0,ns,1
Qag,Rgsl_qag,2,,,51090450.0,ns,1
Qag,Rgsl_qag,2,,,50926118.0,ns,1
Qag,Rgsl_qag,2,,,59242163.0,ns,1
Qag,Rgsl_qag,2,,,77289293.0,ns,1
Qag,Rgsl_qag,2,,,77613138.0,ns,1
Qag,Rgsl_qag,2,,,77441842.0,ns,1
Qag,Rgsl_qag,2,,,78046512.0,ns,1
Qag,Rgsl_qag,2,,,73340477.0,ns,1
Qag,Rgsl_qag,2,,,77301096.0,ns,1
